ticker,fundamentals_score,trading_signal,confidence,sector,industry,market_cap,current_price,return_on_equity,return_on_assets,return_on_invested_capital,net_profit_margin,debt_to_equity,current_ratio,revenue_growth,earnings_growth,fcf_yield,earnings_quality,pe_ratio,pb_ratio,beta,individual_scores,data_completeness,success
LRCX,74.2,BUY,MEDIUM,Technology,Semiconductor Equipment & Materials,1000000000.0,96.96,53.138,17.291,42.510400000000004,27.185,0.47148,2.452,24.4,41.099999999999994,282.6895104,0.9620245582246401,27.008356,13.079724,1.69,"{'return_on_equity_score': 100, 'return_on_assets_score': 80, 'return_on_invested_capital_score': 100, 'net_profit_margin_score': 80, 'operating_margin_score': 100, 'debt_to_equity_score': 60, 'current_ratio_score': 20, 'quick_ratio_score': 20, 'interest_coverage_score': 60, 'debt_to_assets_score': 100, 'revenue_growth_score': 80, 'earnings_growth_score': 100, 'asset_turnover_score': 20, 'working_capital_turnover_score': 40}",100.0,True
KLAC,73.0,BUY,MEDIUM,Technology,Semiconductor Equipment & Materials,1000000000.0,902.09,104.097,19.229001,83.2776,31.993,1.5204900000000001,2.544,29.799999999999997,84.2,256.78144000000003,1.0309281957273153,32.791348,29.787678,1.416,"{'return_on_equity_score': 100, 'return_on_assets_score': 80, 'return_on_invested_capital_score': 100, 'net_profit_margin_score': 80, 'operating_margin_score': 100, 'debt_to_equity_score': 20, 'current_ratio_score': 20, 'quick_ratio_score': 20, 'interest_coverage_score': 60, 'debt_to_assets_score': 100, 'revenue_growth_score': 100, 'earnings_growth_score': 100, 'asset_turnover_score': 20, 'working_capital_turnover_score': 40}",100.0,True
QCOM,72.6,BUY,MEDIUM,Technology,Semiconductors,1000000000.0,158.4,42.205003000000005,13.428001,33.7640024,26.11,0.52737,2.733,16.900000000000002,22.0,832.287488,1.0,16.163265,6.2839684,1.266,"{'return_on_equity_score': 100, 'return_on_assets_score': 60, 'return_on_invested_capital_score': 100, 'net_profit_margin_score': 80, 'operating_margin_score': 100, 'debt_to_equity_score': 60, 'current_ratio_score': 20, 'quick_ratio_score': 20, 'interest_coverage_score': 60, 'debt_to_assets_score': 100, 'revenue_growth_score': 80, 'earnings_growth_score': 100, 'asset_turnover_score': 20, 'working_capital_turnover_score': 40}",100.0,True
GE,71.4,BUY,MEDIUM,Industrials,Aerospace & Defense,1000000000.0,271.59,39.567003,4.6079997,31.6536024,18.642001,1.0337,1.037,21.2,64.1,509.6124928,0.8648648721623404,38.74322,15.05154,1.379,"{'return_on_equity_score': 100, 'return_on_assets_score': 40, 'return_on_invested_capital_score': 100, 'net_profit_margin_score': 80, 'operating_margin_score': 100, 'debt_to_equity_score': 40, 'current_ratio_score': 20, 'quick_ratio_score': 20, 'interest_coverage_score': 60, 'debt_to_assets_score': 100, 'revenue_growth_score': 100, 'earnings_growth_score': 100, 'asset_turnover_score': 20, 'working_capital_turnover_score': 40}",100.0,True
PINS,71.0,BUY,MEDIUM,Communication Services,Internet Content & Information,1000000000.0,37.91,48.411,3.26,38.72880000000001,50.40599999999999,0.030699999999999998,8.413,15.5,15.0,85.3940736,0.5127827158409992,13.9375,5.4672627,0.936,"{'return_on_equity_score': 100, 'return_on_assets_score': 20, 'return_on_invested_capital_score': 100, 'net_profit_margin_score': 100, 'operating_margin_score': 20, 'debt_to_equity_score': 100, 'current_ratio_score': 40, 'quick_ratio_score': 40, 'interest_coverage_score': 60, 'debt_to_assets_score': 100, 'revenue_growth_score': 80, 'earnings_growth_score': 80, 'asset_turnover_score': 20, 'working_capital_turnover_score': 40}",100.0,True
FTNT,70.6,BUY,MEDIUM,Technology,Software - Infrastructure,1000000000.0,104.82,205.906,13.325000000000001,164.72480000000002,30.597,0.54842,1.363,13.8,43.6,196.49999359999998,1.2190709854787802,43.1358,41.073666,1.063,"{'return_on_equity_score': 100, 'return_on_assets_score': 60, 'return_on_invested_capital_score': 100, 'net_profit_margin_score': 80, 'operating_margin_score': 100, 'debt_to_equity_score': 60, 'current_ratio_score': 20, 'quick_ratio_score': 20, 'interest_coverage_score': 60, 'debt_to_assets_score': 100, 'revenue_growth_score': 60, 'earnings_growth_score': 100, 'asset_turnover_score': 20, 'working_capital_turnover_score': 40}",100.0,True
MSFT,69.8,HOLD,LOW,Technology,Software - Infrastructure,1000000000.0,513.71,33.61,14.581999000000001,26.888,35.789,0.32626,1.372,13.3,17.7,5.0,1.0,39.668728,11.863973,1.033,"{'return_on_equity_score': 80, 'return_on_assets_score': 60, 'return_on_invested_capital_score': 100, 'net_profit_margin_score': 100, 'operating_margin_score': 100, 'debt_to_equity_score': 80, 'current_ratio_score': 20, 'quick_ratio_score': 20, 'interest_coverage_score': 60, 'debt_to_assets_score': 100, 'revenue_growth_score': 60, 'earnings_growth_score': 80, 'asset_turnover_score': 20, 'working_capital_turnover_score': 40}",100.0,True
LULU,69.8,HOLD,LOW,Consumer Cyclical,Apparel Retail,1000000000.0,219.43,42.488998,22.017999,33.9911984,16.816999,0.39789,2.278,7.3,2.4,118.3213952,1.120849624517991,14.927211,6.1397915,1.176,"{'return_on_equity_score': 100, 'return_on_assets_score': 100, 'return_on_invested_capital_score': 100, 'net_profit_margin_score': 100, 'operating_margin_score': 80, 'debt_to_equity_score': 100, 'current_ratio_score': 20, 'quick_ratio_score': 20, 'interest_coverage_score': 60, 'debt_to_assets_score': 100, 'revenue_growth_score': 60, 'earnings_growth_score': 20, 'asset_turnover_score': 20, 'working_capital_turnover_score': 40}",100.0,True
ISRG,69.4,HOLD,LOW,Healthcare,Medical Instruments & Supplies,1000000000.0,495.86,16.04,9.0150006,12.832,28.514,0.5,5.167,21.4,24.0,182.47124480000002,1.083793461142214,68.965225,9.958427,1.647,"{'return_on_equity_score': 60, 'return_on_assets_score': 40, 'return_on_invested_capital_score': 60, 'net_profit_margin_score': 100, 'operating_margin_score': 100, 'debt_to_equity_score': 80, 'current_ratio_score': 40, 'quick_ratio_score': 20, 'interest_coverage_score': 60, 'debt_to_assets_score': 100, 'revenue_growth_score': 100, 'earnings_growth_score': 100, 'asset_turnover_score': 20, 'working_capital_turnover_score': 40}",100.0,True
AMZN,68.6,HOLD,LOW,Consumer Cyclical,Internet Retail,1000000000.0,231.44,25.240000000000002,7.632,20.192000000000004,10.14,0.51641,1.048,8.6,62.2,5.0,1.0,37.755302,8.030535,1.337,"{'return_on_equity_score': 80, 'return_on_assets_score': 60, 'return_on_invested_capital_score': 100, 'net_profit_margin_score': 80, 'operating_margin_score': 60, 'debt_to_equity_score': 80, 'current_ratio_score': 20, 'quick_ratio_score': 20, 'interest_coverage_score': 60, 'debt_to_assets_score': 100, 'revenue_growth_score': 60, 'earnings_growth_score': 100, 'asset_turnover_score': 20, 'working_capital_turnover_score': 40}",100.0,True
ADBE,68.2,HOLD,LOW,Technology,Software - Application,1000000000.0,370.74,52.254003000000004,17.851,41.8032024,30.392000000000003,0.5748599999999999,0.993,10.6,12.9,832.3500032000001,1.3997669650960465,23.75016,13.828423,1.509,"{'return_on_equity_score': 100, 'return_on_assets_score': 80, 'return_on_invested_capital_score': 100, 'net_profit_margin_score': 80, 'operating_margin_score': 100, 'debt_to_equity_score': 60, 'current_ratio_score': 20, 'quick_ratio_score': 20, 'interest_coverage_score': 60, 'debt_to_assets_score': 100, 'revenue_growth_score': 60, 'earnings_growth_score': 60, 'asset_turnover_score': 20, 'working_capital_turnover_score': 40}",100.0,True
DOCU,67.8,HOLD,LOW,Technology,Software - Application,1000000000.0,79.87,70.195997,4.4099998000000005,56.156797600000004,36.5,0.06598,0.791,7.6,112.5,113.98640639999999,0.9165377172994028,15.18441,8.008624,1.086,"{'return_on_equity_score': 100, 'return_on_assets_score': 20, 'return_on_invested_capital_score': 100, 'net_profit_margin_score': 100, 'operating_margin_score': 40, 'debt_to_equity_score': 100, 'current_ratio_score': 20, 'quick_ratio_score': 20, 'interest_coverage_score': 60, 'debt_to_assets_score': 100, 'revenue_growth_score': 40, 'earnings_growth_score': 100, 'asset_turnover_score': 20, 'working_capital_turnover_score': 40}",100.0,True
AMAT,66.6,HOLD,LOW,Technology,Semiconductor Equipment & Materials,1000000000.0,185.69,36.372003,15.880999000000001,29.0976024,24.059,0.35176999999999997,2.465,6.800000000000001,27.700000000000003,374.08750080000004,1.1032849746640312,22.562578,7.8592286,1.688,"{'return_on_equity_score': 80, 'return_on_assets_score': 60, 'return_on_invested_capital_score': 100, 'net_profit_margin_score': 60, 'operating_margin_score': 100, 'debt_to_equity_score': 80, 'current_ratio_score': 20, 'quick_ratio_score': 20, 'interest_coverage_score': 60, 'debt_to_assets_score': 100, 'revenue_growth_score': 40, 'earnings_growth_score': 100, 'asset_turnover_score': 20, 'working_capital_turnover_score': 40}",100.0,True
ODFL,66.6,HOLD,LOW,Industrials,Trucking,1000000000.0,167.09,26.593,16.778000000000002,21.2744,20.044,0.014159999999999999,1.318,-5.800000000000001,-11.200000000000001,60.740723200000005,1.3687471453177862,31.348969,8.36077,1.258,"{'return_on_equity_score': 100, 'return_on_assets_score': 100, 'return_on_invested_capital_score': 100, 'net_profit_margin_score': 100, 'operating_margin_score': 100, 'debt_to_equity_score': 100, 'current_ratio_score': 20, 'quick_ratio_score': 20, 'interest_coverage_score': 60, 'debt_to_assets_score': 100, 'revenue_growth_score': 20, 'earnings_growth_score': 20, 'asset_turnover_score': 20, 'working_capital_turnover_score': 40}",100.0,True
PYPL,66.2,HOLD,LOW,Financial Services,Credit Services,1000000000.0,77.98,22.198999,4.4479999999999995,17.7591992,14.255999,0.6604099999999999,1.3,1.2,55.400000000000006,174.18749440000002,1.4722834096903379,17.523598,3.769335,1.452,"{'return_on_equity_score': 100, 'return_on_assets_score': 100, 'return_on_invested_capital_score': 80, 'net_profit_margin_score': 20, 'operating_margin_score': 100, 'debt_to_equity_score': 100, 'current_ratio_score': 20, 'quick_ratio_score': 20, 'interest_coverage_score': 60, 'debt_to_assets_score': 100, 'revenue_growth_score': 20, 'earnings_growth_score': 100, 'asset_turnover_score': 20, 'working_capital_turnover_score': 40}",100.0,True
FANG,65.8,HOLD,LOW,Energy,Oil & Gas E&P,1000000000.0,144.61,14.668000000000001,7.135,11.7344,32.354,0.33594,0.859,80.80000000000001,13.0,204.3000064,1.8805970129922107,8.993159,1.07984,1.024,"{'return_on_equity_score': 60, 'return_on_assets_score': 60, 'return_on_invested_capital_score': 60, 'net_profit_margin_score': 100, 'operating_margin_score': 100, 'debt_to_equity_score': 80, 'current_ratio_score': 20, 'quick_ratio_score': 20, 'interest_coverage_score': 60, 'debt_to_assets_score': 100, 'revenue_growth_score': 100, 'earnings_growth_score': 60, 'asset_turnover_score': 20, 'working_capital_turnover_score': 40}",100.0,True
IDXX,65.8,HOLD,LOW,Healthcare,Diagnostics & Research,1000000000.0,565.19,59.330004,22.982,47.46400320000001,22.761999,0.7315900000000001,1.16,3.5999999999999996,5.3,76.1150144,1.0820288979526922,52.332405,31.515,1.54,"{'return_on_equity_score': 100, 'return_on_assets_score': 100, 'return_on_invested_capital_score': 100, 'net_profit_margin_score': 80, 'operating_margin_score': 100, 'debt_to_equity_score': 60, 'current_ratio_score': 20, 'quick_ratio_score': 20, 'interest_coverage_score': 60, 'debt_to_assets_score': 100, 'revenue_growth_score': 40, 'earnings_growth_score': 40, 'asset_turnover_score': 20, 'working_capital_turnover_score': 40}",100.0,True
EBAY,65.0,HOLD,LOW,Consumer Cyclical,Internet Retail,1000000000.0,81.43,36.479,6.959999999999999,29.1832,19.783,1.4501,1.169,1.0999999999999999,24.5,310.2249984,1.2633120621143272,19.57452,7.616687,1.249,"{'return_on_equity_score': 100, 'return_on_assets_score': 40, 'return_on_invested_capital_score': 100, 'net_profit_margin_score': 100, 'operating_margin_score': 100, 'debt_to_equity_score': 40, 'current_ratio_score': 20, 'quick_ratio_score': 20, 'interest_coverage_score': 60, 'debt_to_assets_score': 100, 'revenue_growth_score': 20, 'earnings_growth_score': 100, 'asset_turnover_score': 20, 'working_capital_turnover_score': 40}",100.0,True
TXN,64.6,HOLD,LOW,Technology,Semiconductors,1000000000.0,184.99,29.990998,10.415000000000001,23.9927984,30.231002,0.85612,5.812,16.400000000000002,15.8,-144.9874944,1.2821584826530694,35.102467,10.251594,1.016,"{'return_on_equity_score': 60, 'return_on_assets_score': 40, 'return_on_invested_capital_score': 100, 'net_profit_margin_score': 80, 'operating_margin_score': 100, 'debt_to_equity_score': 40, 'current_ratio_score': 40, 'quick_ratio_score': 20, 'interest_coverage_score': 60, 'debt_to_assets_score': 100, 'revenue_growth_score': 80, 'earnings_growth_score': 80, 'asset_turnover_score': 20, 'working_capital_turnover_score': 40}",100.0,True
CVNA,64.2,HOLD,LOW,Consumer Cyclical,Auto & Truck Dealerships,1000000000.0,332.12,99.59,9.843001,79.67200000000001,2.681,3.44783,3.814,38.3,554.0,64.9,2.635678391959799,116.12588,29.67742,3.599,"{'return_on_equity_score': 100, 'return_on_assets_score': 60, 'return_on_invested_capital_score': 100, 'net_profit_margin_score': 20, 'operating_margin_score': 40, 'debt_to_equity_score': 20, 'current_ratio_score': 20, 'quick_ratio_score': 20, 'interest_coverage_score': 60, 'debt_to_assets_score': 100, 'revenue_growth_score': 100, 'earnings_growth_score': 100, 'asset_turnover_score': 20, 'working_capital_turnover_score': 40}",100.0,True
MNST,63.0,HOLD,LOW,Consumer Defensive,Beverages - Non-Alcoholic,1000000000.0,60.66,20.003999999999998,14.238999999999999,16.0032,20.273,0.03998,3.375,-2.3,7.1,144.4561536,1.3403985754795449,39.907894,9.072689,0.589,"{'return_on_equity_score': 80, 'return_on_assets_score': 80, 'return_on_invested_capital_score': 80, 'net_profit_margin_score': 100, 'operating_margin_score': 100, 'debt_to_equity_score': 100, 'current_ratio_score': 20, 'quick_ratio_score': 20, 'interest_coverage_score': 60, 'debt_to_assets_score': 100, 'revenue_growth_score': 20, 'earnings_growth_score': 40, 'asset_turnover_score': 20, 'working_capital_turnover_score': 40}",100.0,True
SPOT,63.0,HOLD,LOW,Communication Services,Internet Content & Information,1000000000.0,693.1,24.404,10.045999,19.523200000000003,7.185999999999999,0.34865,1.484,15.2,10.299999999999999,116.12500480000001,2.254716926243568,105.33434,22.750696,1.682,"{'return_on_equity_score': 80, 'return_on_assets_score': 80, 'return_on_invested_capital_score': 80, 'net_profit_margin_score': 40, 'operating_margin_score': 60, 'debt_to_equity_score': 80, 'current_ratio_score': 20, 'quick_ratio_score': 20, 'interest_coverage_score': 60, 'debt_to_assets_score': 100, 'revenue_growth_score': 80, 'earnings_growth_score': 60, 'asset_turnover_score': 20, 'working_capital_turnover_score': 40}",100.0,True
CRON,63.0,HOLD,LOW,Healthcare,Drug Manufacturers - Specialty & Generic,791021184.0,2.05,4.5920000000000005,-2.4249999,3.6736000000000004,39.685002000000004,0.0016300000000000002,27.795,27.6,15.0,-3.6383192488559195,0.38328984891693463,14.642857,0.7408746,1.509,"{'return_on_equity_score': 20, 'return_on_assets_score': 20, 'return_on_invested_capital_score': 20, 'net_profit_margin_score': 100, 'operating_margin_score': 20, 'debt_to_equity_score': 100, 'current_ratio_score': 100, 'quick_ratio_score': 100, 'interest_coverage_score': 60, 'debt_to_assets_score': 100, 'revenue_growth_score': 100, 'earnings_growth_score': 80, 'asset_turnover_score': 20, 'working_capital_turnover_score': 40}",100.0,True
CPRT,63.0,HOLD,LOW,Industrials,Specialty Business Services,1000000000.0,46.69,18.441999,12.015,14.7535992,32.208999999999996,0.011479999999999999,8.155,7.5,7.7,87.3605888,1.2176514690426727,30.920528,5.140372,1.071,"{'return_on_equity_score': 60, 'return_on_assets_score': 80, 'return_on_invested_capital_score': 60, 'net_profit_margin_score': 100, 'operating_margin_score': 100, 'debt_to_equity_score': 100, 'current_ratio_score': 40, 'quick_ratio_score': 40, 'interest_coverage_score': 60, 'debt_to_assets_score': 100, 'revenue_growth_score': 40, 'earnings_growth_score': 40, 'asset_turnover_score': 20, 'working_capital_turnover_score': 40}",100.0,True
ABNB,62.6,HOLD,LOW,Consumer Cyclical,Travel Services,1000000000.0,141.31,32.06,6.276,25.648000000000003,22.596,0.28726,1.273,6.1,-39.5,319.4249984,1.7273444527581128,35.865482,11.020902,1.135,"{'return_on_equity_score': 100, 'return_on_assets_score': 40, 'return_on_invested_capital_score': 100, 'net_profit_margin_score': 100, 'operating_margin_score': 20, 'debt_to_equity_score': 100, 'current_ratio_score': 20, 'quick_ratio_score': 20, 'interest_coverage_score': 60, 'debt_to_assets_score': 100, 'revenue_growth_score': 60, 'earnings_growth_score': 20, 'asset_turnover_score': 20, 'working_capital_turnover_score': 40}",100.0,True
EA,62.2,HOLD,LOW,Communication Services,Electronic Gaming & Multimedia,1000000000.0,151.68,16.131,7.678,12.904800000000002,15.021,0.34732,0.947,6.5,45.800000000000004,165.5750016,1.8545942753738034,35.68941,5.992888,0.733,"{'return_on_equity_score': 60, 'return_on_assets_score': 60, 'return_on_invested_capital_score': 60, 'net_profit_margin_score': 80, 'operating_margin_score': 100, 'debt_to_equity_score': 80, 'current_ratio_score': 20, 'quick_ratio_score': 20, 'interest_coverage_score': 60, 'debt_to_assets_score': 100, 'revenue_growth_score': 40, 'earnings_growth_score': 100, 'asset_turnover_score': 20, 'working_capital_turnover_score': 40}",100.0,True
AMGN,62.2,HOLD,LOW,Healthcare,Drug Manufacturers - General,1000000000.0,306.58,105.67299000000001,7.037,84.53839200000002,17.386,9.24456,1.17,9.4,15.0,5.0,1.0,27.921677,26.557518,0.48,"{'return_on_equity_score': 100, 'return_on_assets_score': 40, 'return_on_invested_capital_score': 100, 'net_profit_margin_score': 60, 'operating_margin_score': 100, 'debt_to_equity_score': 20, 'current_ratio_score': 20, 'quick_ratio_score': 20, 'interest_coverage_score': 60, 'debt_to_assets_score': 100, 'revenue_growth_score': 60, 'earnings_growth_score': 80, 'asset_turnover_score': 20, 'working_capital_turnover_score': 40}",100.0,True
GILD,61.4,HOLD,LOW,Healthcare,Drug Manufacturers - General,1000000000.0,116.2,32.654998,12.1429995,26.1239984,20.759000999999998,1.3078899999999998,1.369,-0.3,15.0,998.9000192000001,1.0,24.411762,7.5498667,0.307,"{'return_on_equity_score': 100, 'return_on_assets_score': 60, 'return_on_invested_capital_score': 100, 'net_profit_margin_score': 80, 'operating_margin_score': 100, 'debt_to_equity_score': 20, 'current_ratio_score': 20, 'quick_ratio_score': 20, 'interest_coverage_score': 60, 'debt_to_assets_score': 100, 'revenue_growth_score': 20, 'earnings_growth_score': 80, 'asset_turnover_score': 20, 'working_capital_turnover_score': 40}",100.0,True
CDNS,61.0,HOLD,LOW,Technology,Software - Application,1000000000.0,332.19,25.921,12.727,20.736800000000002,22.185,0.51864,3.074,23.1,9.9,126.41327360000001,1.38183122540863,84.09873,18.989882,0.988,"{'return_on_equity_score': 60, 'return_on_assets_score': 60, 'return_on_invested_capital_score': 100, 'net_profit_margin_score': 60, 'operating_margin_score': 100, 'debt_to_equity_score': 60, 'current_ratio_score': 20, 'quick_ratio_score': 20, 'interest_coverage_score': 60, 'debt_to_assets_score': 100, 'revenue_growth_score': 80, 'earnings_growth_score': 40, 'asset_turnover_score': 20, 'working_capital_turnover_score': 40}",100.0,True
BKR,60.6,HOLD,LOW,Energy,Oil & Gas Equipment & Services,1000000000.0,46.05,18.363,5.846,14.6904,11.04,0.33770000000000006,1.408,-3.2,22.3,109.68750080000001,1.1217191811023621,15.04902,2.5643167,0.894,"{'return_on_equity_score': 80, 'return_on_assets_score': 60, 'return_on_invested_capital_score': 60, 'net_profit_margin_score': 80, 'operating_margin_score': 60, 'debt_to_equity_score': 80, 'current_ratio_score': 20, 'quick_ratio_score': 20, 'interest_coverage_score': 60, 'debt_to_assets_score': 100, 'revenue_growth_score': 20, 'earnings_growth_score': 100, 'asset_turnover_score': 20, 'working_capital_turnover_score': 40}",100.0,True
COST,60.2,HOLD,LOW,Consumer Defensive,Discount Stores,1000000000.0,935.48,32.08,8.7910004,25.664,2.918,0.30813,1.015,8.0,13.200000000000001,591.0374912,1.0,53.182487,15.295868,0.961,"{'return_on_equity_score': 100, 'return_on_assets_score': 60, 'return_on_invested_capital_score': 100, 'net_profit_margin_score': 20, 'operating_margin_score': 20, 'debt_to_equity_score': 80, 'current_ratio_score': 20, 'quick_ratio_score': 20, 'interest_coverage_score': 60, 'debt_to_assets_score': 100, 'revenue_growth_score': 60, 'earnings_growth_score': 60, 'asset_turnover_score': 20, 'working_capital_turnover_score': 40}",100.0,True
GBTC,59.8,HOLD,LOW,Unknown,Unknown,1000000000.0,91.87,15.0,8.0,12.0,10.0,0.5,2.0,10.0,15.0,5.0,1.0,20.0,2.5,1.0,"{'return_on_equity_score': 60, 'return_on_assets_score': 60, 'return_on_invested_capital_score': 60, 'net_profit_margin_score': 60, 'operating_margin_score': 80, 'debt_to_equity_score': 80, 'current_ratio_score': 20, 'quick_ratio_score': 20, 'interest_coverage_score': 60, 'debt_to_assets_score': 100, 'revenue_growth_score': 60, 'earnings_growth_score': 80, 'asset_turnover_score': 20, 'working_capital_turnover_score': 40}",100.0,True
